category,description
Rejected,"Proposal rejected because of not meet up quarry from BIDA regarding feasibility study and land value\
Please submit project profile with feasibility study and mention project name, location and total investment in it;\
In section 6, the proposed land value has been shown as 231.51276 million BDT but it does not match with the total amount of attached land purchase deeds; so please attach all deeds with a top sheet; fill up factory address properly."
Rejected,"The retail and wholesale business is not any industry. Change of business sector from manufacturing to retail and wholesale is allowed. Therefore, the application is rejected."
Rejected,The application is rejected on ground of non-compliance
Rejected,"The expatriate provided misinformation and received work permit from another company without canceling this work permit,Hence the application has been rejected"
Rejected,"Please show the payroll and salary advice to the BIDA official, and then resubmit the application"
Rejected,You provided misinformation regarding the travel history. The expatriate is staying under an illegal visa.   Please resubmit the application after the departure of the expatriate. Hence the application has been rejected.
Rejected,"Earlier, the expatriate worked in Bangladesh, and while you received the visa recommendation, you did not provide the information. Hence, the application has been rejected."
Rejected,The expatriate is staying under an illegal visa. Please resubmit the application after the departure of the expatriate. Hence the application has been rejected.
Rejected,"Earlier, the expatriate worked in Bangladesh, and while you received the visa recommendation, you did not provide the information. Hence, the application has been rejected."
Rejected,"1. Earlier the total salary was- USD 4246, Proposed salary BDT 237500 ( USD 2328, as per the today exchange rate).His last work cancelled from 31.5.2022\
2.The previous shortfall was-Salary should be more than the previous work permit . Please increase properly\
3.They did not follow the previous shortfall properly. \
4.They have uploaded  doc 13. Kindly see the doc 13 and give your kind decision."
Rejected,"According to submitted import statement issued by lien bank the company has imported raw materials of taka 2,64,06,090/- from 01-06-2023 to 30-06-2023 which is more than seventy percent of import slab . So the company should apply for IRC regularization "
Rejected,Please discuss with all relevant papers with company management
Rejected,please submit balance sheet
Rejected,"a. In case of uploading of registration certificate of BIDA please only upload the registration copy along with other documents that were endorsed by the BIDA office during the first registration (such as the machinery list,  directors list, etc.).  Do not upload amendments, board resolutions, L/C copies, and other irrelevant documents with the registration copy.\
b. Upload all the amendments sequentially in another attachment.\
c. Mrs. Jainab Begum is the director according to form XII. So she can't be chairman in BIDA's document before the change of form XII.\
d. Upload the encashment certificate that has been newly added to the OSS system. Though it is new item in the amendment application in the OSS system, the applicant must have this as there is a foreign director in this project.\
e. According to the uploaded trade license this project can't be amended in BIDA as in the trade license the nature of the business has been mentioned as import-export. BIDA does not give registration or amendment for import-export business.\
f. Information in section 2 does not match amended documents.\
g. As the applicant is not willing to submit the proper document this application can be rejected.\
e. "
